Binomial,Area,FID_2,TID,Group,Value,area
Ablepharus budaki,121180.9012,2,R06993,lizard,1,1.21183E+11
Ablepharus darvazi,32444.74018,4,R06995,lizard,1,32444294672
Ablepharus grayanus,130759.9117,6,R06997,lizard,1,1.30762E+11
Ablepharus kitaibelii,684246.0766,7,R06998,lizard,1,6.84254E+11
Ablepharus rueppellii,62791.45062,10,R07001,lizard,1,62791465879
Abronia anzuetoi,38.322097,11,R00667,lizard,1,38322095.69
Abronia aurita,152.897896,12,R00668,lizard,1,152897811.2
Abronia bogerti,464.162892,13,R00669,lizard,1,464162892
Abronia campbelli,9.996281,14,R00670,lizard,1,9996280.673
Abronia chiszari,405.951211,15,R00671,lizard,1,405948838.6
Abronia deppii,4804.350011,16,R00672,lizard,1,4804269560
Abronia fimbriata,3200.020724,17,R00673,lizard,1,3200016088
Abronia frosti,36.302252,18,R00674,lizard,1,36302346.79
Abronia fuscolabialis,881.151606,19,R00675,lizard,1,881151635.9
Abronia gaiophantasma,2799.210844,20,R00676,lizard,1,2799211778
Abronia graminea,2036.823122,21,R00677,lizard,1,2036838222
Abronia leurolepis,121.299851,22,R00678,lizard,1,121299850.8
Abronia lythrochila,1894.083745,23,R00679,lizard,1,1894084718
Abronia martindelcampoi,1896.425854,24,R00680,lizard,1,1896416688
Abronia matudai,894.95182,25,R00681,lizard,1,894953336.3
Abronia meledona,45.495206,26,R00682,lizard,1,45495226.28
Abronia mitchelli,232.142506,27,R00683,lizard,1,232142505.6
Abronia mixteca,3601.013535,28,R00684,lizard,1,3601023686
Abronia montecristoi,4678.060715,29,R00685,lizard,1,4676829524
Abronia oaxacae,3396.498795,30,R00686,lizard,1,3396511628
Abronia ochoterenai,176.521317,31,R00687,lizard,1,176521317.4
Abronia ornelasi,363.144037,32,R00688,lizard,1,363144036.8
Abronia ramirezi,242.281435,33,R00689,lizard,1,242281435.5
Abronia reidi,222.657374,34,R00690,lizard,1,222657018.6
Abronia salvadorensis,82.489679,35,R00691,lizard,1,82489720.46
Abronia smithi,1998.011645,36,R00692,lizard,1,1998075039
Abronia taeniata,7721.269707,37,R00693,lizard,1,7721302056
