Binomial,Area,FID_2,TID,Group,Value,area2
Ablepharus budaki,121180.901151,"2",R06993,lizard,"1",121183.290
Ablepharus darvazi,32444.740178,"4",R06995,lizard,"1",32444.295
Ablepharus grayanus,130759.911684,"6",R06997,lizard,"1",130761.595
Ablepharus kitaibelii,684246.076556,"7",R06998,lizard,"1",684253.681
Ablepharus rueppellii,62791.450621,"10",R07001,lizard,"1",62791.466
Abronia anzuetoi,38.322097,"11",R00667,lizard,"1",38.322
Abronia aurita,152.897896,"12",R00668,lizard,"1",152.898
Abronia bogerti,464.162892,"13",R00669,lizard,"1",464.163
Abronia campbelli,9.996281,"14",R00670,lizard,"1",9.996
Abronia chiszari,405.951211,"15",R00671,lizard,"1",405.949
Abronia deppii,4804.350011,"16",R00672,lizard,"1",4804.270
Abronia fimbriata,3200.020724,"17",R00673,lizard,"1",3200.016
Abronia frosti,36.302252,"18",R00674,lizard,"1",36.302
Abronia fuscolabialis,881.151606,"19",R00675,lizard,"1",881.152
Abronia gaiophantasma,2799.210844,"20",R00676,lizard,"1",2799.212
Abronia graminea,2036.823122,"21",R00677,lizard,"1",2036.838
Abronia leurolepis,121.299851,"22",R00678,lizard,"1",121.300
Abronia lythrochila,1894.083745,"23",R00679,lizard,"1",1894.085
Abronia martindelcampoi,1896.425854,"24",R00680,lizard,"1",1896.417
Abronia matudai,894.951820,"25",R00681,lizard,"1",894.953
Abronia meledona,45.495206,"26",R00682,lizard,"1",45.495
Abronia mitchelli,232.142506,"27",R00683,lizard,"1",232.143
Abronia mixteca,3601.013535,"28",R00684,lizard,"1",3601.024
Abronia montecristoi,4678.060715,"29",R00685,lizard,"1",4676.830
Abronia oaxacae,3396.498795,"30",R00686,lizard,"1",3396.512
Abronia ochoterenai,176.521317,"31",R00687,lizard,"1",176.521
Abronia ornelasi,363.144037,"32",R00688,lizard,"1",363.144
Abronia ramirezi,242.281435,"33",R00689,lizard,"1",242.281
Abronia reidi,222.657374,"34",R00690,lizard,"1",222.657
Abronia salvadorensis,82.489679,"35",R00691,lizard,"1",82.490
Abronia smithi,1998.011645,"36",R00692,lizard,"1",1998.075
Abronia taeniata,7721.269707,"37",R00693,lizard,"1",7721.302
Abronia vasconcelosii,4051.643595,"38",R00694,lizard,"1",4051.452
Acanthocercus adramitanus,259180.432575,"39",R00030,lizard,"1",259178.219
Acanthocercus annectens,681636.047352,"40",R00031,lizard,"1",681626.855
Acanthocercus atricollis,5952733.383888,"41",R00032,lizard,"1",5952738.046
Acanthocercus branchi,161275.695497,"42",R00033,lizard,"1",161254.978
Acanthocercus cyanogaster,1455649.932417,"43",R00034,lizard,"1",1455647.686
Acanthocercus guentherpetersi,38842.442726,"44",R00035,lizard,"1",39032.730
Acanthocercus phillipsii,85904.620375,"45",R00036,lizard,"1",85907.806
Acanthocercus yemensis,44639.220337,"46",R00037,lizard,"1",44638.087
Acanthochelys macrocephala,483984.053447,"47",R09913,turtle,"1",483965.494
Acanthochelys pallidipectoris,321161.488958,"48",R09914,turtle,"1",321157.983
Acanthochelys radiolata,383928.106768,"49",R09915,turtle,"1",383912.997
Acanthochelys spixii,1068230.689466,"50",R09916,turtle,"1",1068229.056
Acanthodactylus aegyptius,242805.033992,"51",R05245,lizard,"1",242761.340
Acanthodactylus ahmaddisii,4776.199241,"52",R05246,lizard,"1",4776.186
Acanthodactylus arabicus,127002.141938,"53",R05247,lizard,"1",127014.384
Acanthodactylus aureus,271936.909610,"54",R05248,lizard,"1",271902.676
Acanthodactylus bedriagai,192748.106110,"55",R05249,lizard,"1",192655.867
Acanthodactylus beershebensis,5380.055534,"56",R05250,lizard,"1",5380.013
Acanthodactylus blanci,130793.260348,"57",R05251,lizard,"1",130752.379
Acanthodactylus blanfordii,921917.282311,"58",R05252,lizard,"1",922148.232
Acanthodactylus boueti,342755.464254,"60",R05254,lizard,"1",342797.615
Acanthodactylus busacki,211576.425324,"61",R05255,lizard,"1",211549.914
Acanthodactylus cantoris,1418005.799528,"62",R05256,lizard,"1",1418031.590
Acanthodactylus dumerilii,1617810.351671,"63",R05257,lizard,"1",1617169.963
Acanthodactylus erythrurus,1030081.711033,"64",R05258,lizard,"1",1030142.211
Acanthodactylus felicis,147439.428063,"65",R05259,lizard,"1",147448.882
Acanthodactylus gongrorhynchatus,132080.251040,"66",R05260,lizard,"1",132072.562
Acanthodactylus guineensis,2113536.353724,"68",R05262,lizard,"1",2114409.113
Acanthodactylus haasi,517700.037639,"69",R05263,lizard,"1",517640.482
Acanthodactylus harranensis,4831.027471,"71",R05265,lizard,"1",4829.201
Acanthodactylus khamirensis,9.996281,"72",R05266,lizard,"1",9.996
Acanthodactylus lineomaculatus,169634.667641,"73",R05267,lizard,"1",169602.712
Acanthodactylus longipes,7872081.194913,"74",R05268,lizard,"1",7872101.462
Acanthodactylus maculatus,1194717.041965,"75",R05269,lizard,"1",1193759.397
Acanthodactylus masirae,25057.288954,"76",R05270,lizard,"1",25059.911
Acanthodactylus micropholis,533435.646341,"77",R05271,lizard,"1",533634.687
Acanthodactylus opheodurus,1750981.562913,"79",R05273,lizard,"1",1750821.113
Acanthodactylus pardalis,179337.239186,"81",R05275,lizard,"1",179280.037
Acanthodactylus robustus,193573.308023,"82",R05276,lizard,"1",193584.852
Acanthodactylus savignyi,97091.962882,"83",R05277,lizard,"1",97053.182
Acanthodactylus schmidti,2040472.626763,"84",R05278,lizard,"1",2040319.628
Acanthodactylus schreiberi,9058.487362,"85",R05279,lizard,"1",9058.916
Acanthodactylus senegalensis,1531947.004420,"87",R05281,lizard,"1",1532050.204
Acanthodactylus spinicauda,5889.589885,"88",R05282,lizard,"1",5889.594
Acanthodactylus taghitensis,277058.680676,"89",R05283,lizard,"1",277084.305
Acanthodactylus tilburyi,134696.007571,"90",R05284,lizard,"1",134673.146
Acanthodactylus tristrami,76448.497685,"91",R05285,lizard,"1",76447.331
Acanthodactylus yemenicus,179395.081542,"92",R05286,lizard,"1",179407.270
Acanthophis antarcticus,2447375.589878,"93",R03377,snake,"1",2447285.654
Acanthophis hawkei,525772.550312,"94",R03378,snake,"1",525774.525
Acanthophis laevis,536116.812128,"95",R03379,snake,"1",536119.676
Acanthophis praelongus,777365.206329,"96",R03380,snake,"1",777444.295
Acanthophis pyrrhus,3237602.387752,"97",R03381,snake,"1",3237696.279
Acanthophis rugosus,14508.679042,"98",R03382,snake,"1",14506.674
Acanthophis wellsi,5508.048359,"99",R03383,snake,"1",5505.036
Acanthosaura armata,217537.162623,"100",R00038,lizard,"1",217538.671
Acanthosaura bintangensis,19.992561,"101",R00039,lizard,"1",19.993
Acanthosaura brachypoda,19.992561,"102",R00040,lizard,"1",19.993
Acanthosaura capra,8167.849486,"103",R00041,lizard,"1",8167.849
Acanthosaura cardamomensis,11841.502912,"104",R00042,lizard,"1",11841.503
Acanthosaura coronata,14531.221267,"105",R00043,lizard,"1",14531.221
Acanthosaura crucigera,274694.837410,"106",R00044,lizard,"1",274697.653
Acanthosaura lepidogaster,2557954.490990,"107",R00045,lizard,"1",2558000.965
Acanthosaura nataliae,34861.690347,"108",R00046,lizard,"1",34862.309
Acanthosaura titiwangsaensis,1747.105745,"109",R00047,lizard,"1",1747.246
Achalinus ater,73196.730744,"110",R09879,snake,"1",73208.739
Achalinus formosanus,36701.975426,"111",R09880,snake,"1",36701.943
Achalinus hainanus,5051.019873,"112",R09881,snake,"1",5051.393
Achalinus jinggangensis,307.584776,"113",R09882,snake,"1",307.580
Achalinus meiguensis,129467.285838,"114",R09883,snake,"1",129441.831
Achalinus niger,23352.808293,"115",R09884,snake,"1",23353.658
Achalinus rufescens,680737.159350,"116",R09885,snake,"1",681062.358
Achalinus spinalis,1636030.237799,"117",R09886,snake,"1",1633666.659
Achalinus werneri,2270.140087,"118",R09887,snake,"1",2270.134
Acontias aurantiacus,46189.193777,"119",R07002,lizard,"1",46188.671
Acontias bicolor,129800.330855,"120",R07003,lizard,"1",129802.370
Acontias breviceps,41481.143254,"121",R07004,lizard,"1",41480.767
Acontias cregoi,43157.178206,"122",R07005,lizard,"1",43157.032
Acontias gariepensis,51533.198799,"123",R07006,lizard,"1",51532.085
Acontias gracilicauda,329198.871646,"124",R07007,lizard,"1",329191.782
Acontias jappi,26568.249812,"125",R07008,lizard,"1",26567.639
Acontias kgalagadi,663345.259132,"126",R07009,lizard,"1",663352.474
Acontias lineatus,333597.248199,"127",R07010,lizard,"1",333585.133
Acontias litoralis,27703.494115,"128",R07011,lizard,"1",27703.130
Acontias meleagris,145933.920581,"129",R07012,lizard,"1",145931.880
Acontias namaquensis,5436.282790,"130",R07013,lizard,"1",5436.355
Acontias occidentalis,482198.607099,"131",R07014,lizard,"1",482201.142
Acontias orientalis,34639.773795,"132",R07015,lizard,"1",34638.867
Acontias percivali,901709.390594,"133",R07016,lizard,"1",901695.975
Acontias plumbeus,324207.972489,"134",R07017,lizard,"1",324180.931
Acontias poecilus,7946.094323,"135",R07018,lizard,"1",7946.077
Acontias richardi,8050.254617,"136",R07019,lizard,"1",8050.213
Acontias rieppeli,39068.805804,"137",R07020,lizard,"1",39068.748
Acontias schmitzi,9.996281,"138",R07021,lizard,"1",9.996
Acontias tristis,31412.472571,"139",R07022,lizard,"1",31412.153
Acrantophis dumerili,242896.030478,"140",R00778,snake,"1",242879.811
Acrantophis madagascariensis,171891.131388,"141",R00779,snake,"1",171895.898
Acratosaura mentalis,530277.018704,"142",R04883,lizard,"1",530277.072
Acratosaura spinosa,125654.216200,"143",R04884,lizard,"1",125654.217
Acrochordus arafurae,689550.454364,"144",R00027,snake,"1",689582.698
Acrochordus granulatus,2579856.816447,"145",R00028,snake,"1",2579872.229
Acrochordus javanicus,1917165.717689,"146",R00029,snake,"1",1917165.695
Actinemys marmorata,463537.635391,"147",R09981,turtle,"1",463551.590
Acutotyphlops banaorum,4.435374,"148",R09122,snake,"1",4.435
Acutotyphlops infralabialis,10688.333030,"149",R09123,snake,"1",10688.326
Acutotyphlops kunuaensis,5157.574295,"150",R09124,snake,"1",5157.576
Acutotyphlops solomonis,4994.336641,"151",R09125,snake,"1",4994.330
Acutotyphlops subocularis,33827.813179,"152",R09126,snake,"1",33827.817
Adelophis copei,1388.352743,"153",R06353,snake,"1",1388.353
Adelophis foxi,848.786844,"154",R06354,snake,"1",848.787
Adelphicos daryi,9.996281,"155",R02625,snake,"1",9.996
Adelphicos ibarrorum,9.996281,"156",R02626,snake,"1",9.996
Adelphicos latifasciatum,1856.448997,"157",R02627,snake,"1",1856.443
Adelphicos nigrilatum,2721.114363,"158",R02628,snake,"1",2721.078
Adelphicos quadrivirgatum,191713.320075,"159",R02629,snake,"1",191714.919
Adelphicos veraepacis,5992.968124,"160",R02630,snake,"1",5991.754
Adercosaurus vixadnexus,9.996281,"161",R04885,lizard,"1",9.996
Adolfus africanus,931945.307700,"162",R05287,lizard,"1",931950.321
Adolfus alleni,18282.444744,"163",R05288,lizard,"1",18282.707
Adolfus jacksoni,383062.560226,"164",R05289,lizard,"1",383063.021
Adolfus masavaensis,1062.623221,"165",R05290,lizard,"1",1062.623
Aeluroglena cucullata,36010.798933,"166",R01072,snake,"1",36018.101
Aeluroscalabotes felinus,304433.434803,"167",R03732,lizard,"1",304433.566
Afroablepharus africanus,1005.246011,"168",R07023,lizard,"1",1005.246
Afroablepharus annobonensis,14.697131,"169",R07024,lizard,"1",14.697
Afroablepharus duruarum,12181.999135,"170",R07025,lizard,"1",12180.455
Afroablepharus maculicollis,853431.943318,"171",R07026,lizard,"1",853415.756
Afroablepharus seydeli,7606.343955,"172",R07027,lizard,"1",7606.369
Afroablepharus wahlbergi,3375958.617087,"173",R07028,lizard,"1",3375959.357
Afroablepharus wilsoni,49992.358077,"174",R07029,lizard,"1",49991.650
Afroedura africana,51503.394804,"175",R03768,lizard,"1",51503.239
Afroedura amatolica,16739.730885,"176",R03769,lizard,"1",16739.686
Afroedura bogerti,65894.177779,"177",R03770,lizard,"1",65894.187
Afroedura broadleyi,1917.917704,"178",R03771,lizard,"1",1920.629
Afroedura granitica,16.238188,"179",R03772,lizard,"1",16.238
Afroedura haackei,4786.212405,"180",R03773,lizard,"1",4786.228
Afroedura halli,31225.080384,"181",R03774,lizard,"1",31224.918
Afroedura hawequensis,12444.358240,"182",R03775,lizard,"1",12444.669
Afroedura karroica,33696.443693,"183",R03776,lizard,"1",33696.561
Afroedura langi,8380.964714,"184",R03777,lizard,"1",8381.080
