Species,Order,Family,Genus,Main biogeographic region,Microhabitat,Habitat type,Minimal elevation (m),Maximum elevation (m),Diet ,Active time,Foraging mode,Maximum Longevity (years),Maximum body mass (g),"Maximum female length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum male length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum juvenile length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)",Hatchling/neonate mass (g),Reproductive mode,Mean number of offspring per litter or number of eggs per clutch,Smallest clutch size,Largest clutch size,Number of litters or clutches produced per year,Egg length (mm),Egg width (mm),Mean Tb,Minimum Tb,Maximum Tb
Ablepharus alaicus,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Saxicolous/Terrestrial,NA,NA,NA,Carnivorous,Diurnal,NA,NA,NA,NA,NA,22.1,NA,viviparous,NA,2,7,NA,No,No,NA,NA,NA
Ablepharus anatolicus,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ablepharus bivittatus,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Saxicolous,Forest/Grassland/Shrubland,600,2900,Carnivorous,Diurnal,NA,NA,4.4,56.5,NA,18.5,NA,oviparous,4.0,2,5,NA,NA,NA,NA,NA,NA
Ablepharus budaki,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Terrestrial,Forest/Shrubland,0,1700,Carnivorous,Diurnal,NA,NA,2.0,36.8,NA,NA,NA,oviparous,3.5,2,5,NA,NA,NA,NA,NA,NA
Ablepharus chernovi,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Saxicolous/Terrestrial,Forest/Grassland/Shrubland,150,1700,Carnivorous,Diurnal,NA,NA,3.0,44.4,NA,NA,NA,oviparous,3.5,3,4,NA,NA,NA,NA,NA,NA
Ablepharus darvazi,Squamata,Scincidae,Ablepharus,Saharo-Sindian,NA,Forest/Shrubland,NA,NA,NA,Diurnal,NA,NA,1.5,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA
Ablepharus deserti,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Terrestrial,Desert/Forest/Shrubland/Wetlands,40,3000,Carnivorous,Diurnal,NA,NA,3.9,46,NA,17.5,NA,oviparous,4.5,1,8,NA,NA,NA,NA,NA,NA
Ablepharus eremchenkoi,Squamata,Scincidae,Ablepharus,Saharo-Sindian,NA,NA,NA,NA,NA,Diurnal,NA,NA,NA,50,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ablepharus grayanus,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Fossorial/Terrestrial,Desert/Grassland/Rocky/Wetlands,222,2710,Carnivorous,Diurnal,NA,NA,0.7,NA,NA,14.5,NA,oviparous,1.5,1,2,NA,NA,NA,NA,NA,NA
Ablepharus himalayanus,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Terrestrial,NA,NA,NA,Carnivorous,Diurnal,NA,NA,1.2,61.8,NA,NA,NA,ovoviviparous,3.0,1,4,NA,NA,NA,27.5,NA,NA
Ablepharus kitaibelii,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Terrestrial,Forest/Grassland/Shrubland,0,2000,Carnivorous,Diurnal,NA,4.0,4.8,43.4,NA,20,NA,oviparous,2.8,2,6,NA,NA,NA,27.0,NA,NA
Ablepharus ladacensis,Squamata,Scincidae,Ablepharus,Oriental,Saxicolous/Terrestrial,NA,NA,NA,Carnivorous,Diurnal,NA,NA,NA,47,NA,NA,NA,ovoviviparous,NA,1,4,NA,NA,NA,NA,NA,NA
Ablepharus lindbergi,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Fossorial/Terrestrial,NA,NA,NA,NA,Diurnal,NA,NA,2.3,NA,NA,NA,NA,NA,4.5,4,5,NA,NA,NA,NA,NA,NA
Ablepharus mahabharatus,Squamata,Scincidae,Ablepharus,Oriental,NA,NA,NA,NA,NA,Diurnal,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ablepharus nepalensis,Squamata,Scincidae,Ablepharus,Oriental,NA,NA,NA,NA,NA,Diurnal,NA,NA,NA,41,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA
Ablepharus pannonicus,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Cryptic/Terrestrial,Desert/Forest/Grassland/Rocky/Shrubland,300,2800,Carnivorous,Diurnal,NA,NA,3.1,NA,NA,20,NA,oviparous,4.0,2,6,NA,NA,NA,NA,NA,NA
Ablepharus rueppellii,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Terrestrial,Forest/Shrubland/Wetlands,0,1660,Carnivorous,Diurnal,NA,8.3,2.6,35.3,NA,18.5,NA,oviparous,1.8,1,6,1.0,NA,NA,29.5,NA,NA
Ablepharus sikimmensis,Squamata,Scincidae,Ablepharus,Oriental,Terrestrial,NA,NA,NA,Carnivorous,Diurnal,ACT,NA,NA,51.4,NA,19,NA,oviparous,5.0,2,8,NA,NA,NA,29.0,NA,NA
Ablepharus tragbulensis,Squamata,Scincidae,Ablepharus,Saharo-Sindian,Saxicolous,NA,NA,NA,NA,Diurnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abronia antauges,Squamata,Anguidae,Abronia,Neotropic,Terrestrial,NA,NA,NA,Carnivorous,Diurnal,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abronia anzuetoi,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,1220,2290,NA,Diurnal,NA,NA,44.7,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abronia aurita,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,1800,2660,NA,Diurnal,NA,NA,33.9,111,NA,33,NA,viviparous,12.0,12,12,NA,No,No,NA,NA,NA
Abronia bogerti,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,NA,NA,NA,Diurnal,NA,NA,9.6,87,NA,NA,NA,NA,8.0,NA,NA,NA,NA,NA,NA,NA,NA
Abronia campbelli,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,1800,1900,NA,Diurnal,NA,NA,36.3,114,NA,NA,NA,viviparous,8.0,4,12,NA,No,No,NA,NA,NA
Abronia chiszari,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,440,1000,NA,Diurnal,NA,NA,18.6,96,NA,41,NA,viviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abronia cuchumatanus,Squamata,Anguidae,Abronia,Neotropic,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abronia cuetzpali,Squamata,Anguidae,Abronia,Neotropic,Terrestrial,NA,NA,NA,NA,Diurnal,NA,NA,NA,114,NA,NA,NA,NA,6.0,NA,NA,NA,NA,NA,NA,NA,NA
Abronia deppii,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,2000,2620,NA,Diurnal,NA,NA,30.2,63,NA,34.2,NA,viviparous,6.0,6,6,NA,No,No,NA,NA,NA
Abronia fimbriata,Squamata,Anguidae,Abronia,Neotropic,Arboreal,Forest,1400,2100,NA,Diurnal,NA,NA,38.9,101.5,NA,32,NA,viviparous,4.0,4,4,NA,No,No,NA,NA,NA
