Species,Order,Family,Genus,Main.biogeographic.region,Microhabitat,Habitat.type,Minimal.elevation..m.,Maximum.elevation..m.,Diet,Active.time,Foraging.mode,Maximum.Longevity..years.,Maximum.body.mass..g.,Maximum.female.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm.,Maximum.male.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm.,Maximum.juvenile.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm.,Hatchling.neonate.mass..g.,Reproductive.mode,Mean.number.of.offspring.per.litter.or.number.of.eggs.per.clutch,Smallest.clutch.size,Largest.clutch.size,Number.of.litters.or.clutches.produced.per.year,Egg.length..mm.,Egg.width..mm.,Mean.Tb,Minimum.Tb,Maximum.Tb,genome.size.GB,GC.percent
Acanthocercus_atricollis,Squamata,Agamidae,Acanthocercus,Afrotropic,Arboreal,Savanna,0,3000,Carnivorous,Diurnal,sit-and-wait,10.9,177.8,113.9,NA,34,NA,oviparous,11.4,1,17,1,NA,NA,39.9,NA,NA,1.7,42
Ameiva_ameiva,Squamata,Teiidae,Ameiva,Neotropic,Terrestrial,Forest/Savanna/Shrubland,0,1180,Carnivorous,Diurnal,active,4.7,302,118.9,NA,39.1,NA,oviparous,5.3,1,11,2.5,NA,NA,37.8,NA,NA,1.8,42
Anilius_scytale,Squamata,Aniliidae,Anilius,Neotropic,Fossorial/Terrestrial,Forest/Savanna/Wetlands,0,100,Carnivorous,Nocturnal,active,NA,340.1,NA,NA,NA,NA,ovoviviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,40.5
Anolis_lemurinus,Squamata,Anolidae,Anolis,Neotropic,Arboreal/Terrestrial,Forest,0,1550,Carnivorous,Diurnal,sit-and-wait,NA,10.2,59.3,NA,24.5,NA,oviparous,1,1,2,NA,NA,NA,21,NA,NA,2,41.5
Anolis_planiceps,Squamata,Anolidae,Anolis,Neotropic,Arboreal/Terrestrial,Forest,0,1800,Carnivorous,Diurnal,sit-and-wait,NA,9.1,62.2,NA,26,NA,oviparous,1.4,1,2,NA,NA,NA,28.3,NA,NA,2.1,41.5
Anolis_sericeus,Squamata,Anolidae,Anolis,Neotropic,Arboreal/Terrestrial,Forest/Savanna,0,1500,Carnivorous,Diurnal,sit-and-wait,NA,3.2,41,NA,NA,NA,oviparous,1,1,1,NA,NA,NA,32.7,NA,NA,2.6,41.5
Anolis_tropidonotus,Squamata,Anolidae,Anolis,Neotropic,Arboreal/Terrestrial,Forest,0,1900,Carnivorous,Diurnal,sit-and-wait,NA,5.8,42.7,NA,NA,NA,oviparous,1,1,1,NA,NA,NA,NA,NA,NA,2,41.5
Aparallactus_lunulatus,Squamata,Atractaspididae,Aparallactus,Afrotropic,Fossorial/Terrestrial,Forest/Savanna,0,2400,Carnivorous,Nocturnal,active,NA,25.7,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,40.5
Basiliscus_vittatus,Squamata,Corytophanidae,Basiliscus,Neotropic,Semi-Aquatic,Forest/Wetlands,0,1500,Omnivorous,Diurnal,plastic,9.1,398.1,117.8,NA,37.5,NA,oviparous,5.4,2,18,3.8,NA,NA,36.2,NA,NA,2.2,42.5
Bothrops_atrox,Squamata,Viperidae,Bothrops,Neotropic,Arboreal/Terrestrial,Forest/Wetlands,50,1590,NA,Nocturnal,sit-and-wait,8.5,1803.4,NA,NA,NA,NA,viviparous,31,NA,NA,NA,No,No,NA,NA,NA,1.4,40
