INDV	O(HOM)	E(HOM)	N_SITES	F	Foraging.mode	species
SRR31150016	37	33.6	45	0.29687	active	Acanthodactylus_boskianus
SRR31150017	30	33.6	45	-0.31836	active	Acanthodactylus_boskianus
SRR31150107	26	33.6	45	-0.66992	active	Acanthodactylus_boskianus
SRR31150110	41	33.6	45	0.64844	active	Acanthodactylus_boskianus
SRR31150111	45	33.6	45	1.00000	active	Acanthodactylus_boskianus
SRR31150020	48	38.3	54	0.61702	active	Acanthodactylus_schreiberi
SRR31150022	46	38.3	54	0.48936	active	Acanthodactylus_schreiberi
SRR31150024	46	38.3	54	0.48936	active	Acanthodactylus_schreiberi
SRR31150027	45	38.3	54	0.42553	active	Acanthodactylus_schreiberi
SRR31150264	30	38.3	54	-0.53191	active	Acanthodactylus_schreiberi
SRR14611971	3	1.9	3	1.00000	active	Aldabrachelys_gigantea
SRR14611973	3	1.9	3	1.00000	active	Aldabrachelys_gigantea
SRR14611975	3	1.9	3	1.00000	active	Aldabrachelys_gigantea
SRR14611977	3	1.9	3	1.00000	active	Aldabrachelys_gigantea
SRR14611979	2	1.9	3	0.08163	active	Aldabrachelys_gigantea
SRR32222528	130	137.6	203	-0.11583	active	Anolis_brevirostris
SRR32222530	159	137.6	203	0.32745	active	Anolis_brevirostris
SRR32222532	185	137.6	203	0.72486	active	Anolis_brevirostris
SRR32222534	176	137.6	203	0.58730	active	Anolis_brevirostris
SRR32222536	187	137.6	203	0.75543	active	Anolis_brevirostris
SRR13990261	276	251.6	347	0.25577	active	Anolis_fuscoauratus
SRR13990263	270	251.6	347	0.19287	active	Anolis_fuscoauratus
SRR13990268	291	251.6	347	0.41300	active	Anolis_fuscoauratus
SRR13990270	284	251.6	347	0.33962	active	Anolis_fuscoauratus
SRR13990272	267	251.6	347	0.16143	active	Anolis_fuscoauratus
SRR16542668	262	221.0	304	0.49384	sit-and-wait	Anolis_garmani
SRR16542709	254	221.0	304	0.39743	sit-and-wait	Anolis_garmani
SRR16542710	237	221.0	304	0.19255	sit-and-wait	Anolis_garmani
SRR16542714	222	221.0	304	0.01178	sit-and-wait	Anolis_garmani
SRR16542727	237	221.0	304	0.19255	sit-and-wait	Anolis_garmani
SRR16542660	1025	815.6	1191	0.55786	sit-and-wait	Anolis_grahami
SRR16542669	1019	815.6	1191	0.54188	sit-and-wait	Anolis_grahami
SRR16542674	1012	815.6	1191	0.52323	sit-and-wait	Anolis_grahami
SRR16542681	1003	815.6	1191	0.49926	sit-and-wait	Anolis_grahami
SRR16542691	1033	815.6	1191	0.57917	sit-and-wait	Anolis_grahami
SRR26324137	3	6.4	8	-2.12500	active	Anolis_krugi
SRR26324139	8	6.4	8	1.00000	active	Anolis_krugi
SRR26324140	8	6.4	8	1.00000	active	Anolis_krugi
SRR26324141	5	6.4	8	-0.87500	active	Anolis_krugi
SRR26324142	8	6.4	8	1.00000	active	Anolis_krugi
SRR16542666	908	771.2	1099	0.41733	sit-and-wait	Anolis_opalinus
SRR16542678	915	771.2	1099	0.43868	sit-and-wait	Anolis_opalinus
SRR16542688	862	771.2	1099	0.27700	sit-and-wait	Anolis_opalinus
SRR16542692	902	771.2	1099	0.39902	sit-and-wait	Anolis_opalinus
SRR16542711	961	771.2	1099	0.57901	sit-and-wait	Anolis_opalinus
SRR7884531	28923	22527.6	31058	0.74972	sit-and-wait	Anolis_ortonii
SRR7884533	25913	22527.6	31058	0.39686	sit-and-wait	Anolis_ortonii
SRR7884535	27441	22527.6	31058	0.57598	sit-and-wait	Anolis_ortonii
SRR7884540	24213	22527.6	31058	0.19757	sit-and-wait	Anolis_ortonii
SRR7884563	24994	22527.6	31058	0.28913	sit-and-wait	Anolis_ortonii
SRR7884537	16415	11067.7	16633	0.96083	sit-and-wait	Anolis_punctatus
SRR7884543	13706	11067.7	16633	0.47406	sit-and-wait	Anolis_punctatus
SRR7884544	16383	11067.7	16633	0.95508	sit-and-wait	Anolis_punctatus
SRR7884546	13645	11067.7	16633	0.46310	sit-and-wait	Anolis_punctatus
SRR7884551	15439	11067.7	16633	0.78546	sit-and-wait	Anolis_punctatus
