Class,Order,Family,Species,Common Name,C value,Ch. Num,Method,Cell Type,Std Sp.,Refs
Reptilia,Crocodylia,Alligatoridae,Alligator mississippiensis,American alligator,2.49,32,FD,RBC,GD,324
Reptilia,Crocodylia,Alligatoridae,Alligator mississippiensis,American alligator,2.66,,FCM,RBC,"HS,ÊOM",598
Reptilia,Crocodylia,Alligatoridae,Caiman crocodilus,Spectacled caiman,2.68,42,FD,RBC,PS,368
Reptilia,Crocodylia,Alligatoridae,Caiman crocodilus,Spectacled caiman,2.82,,FD,RBC,HS,14
Reptilia,Crocodylia,Alligatoridae,Caiman crocodilus,Spectacled caiman,3.01,,SCF,RBC,HS,106
Reptilia,Crocodylia,Alligatoridae,Caiman latirostris,Broad-snouted caiman,3.91,42,FD,RBC,PS,370
Reptilia,Crocodylia,Crocodylidae,Crocodylus niloticus,Nile crocodile,1.35,,FK,IC,HS,805
Reptilia,Crocodylia,Crocodylidae,Crocodylus niloticus,Nile crocodile,2.84,,SCF,RBC,HS,106
Reptilia,Crocodylia,Crocodylidae,Crocodylus niloticus,Nile crocodile,3.95,32,FD,RBC,V,75
Reptilia,Crocodylia,Crocodylidae,Crocodylus siamensis,Siamese crocodile,2.84,34,SCF,RBC,HS,106
Reptilia,Rhynchocephalia,Sphenodontidae,Sphenodon punctatus,Tuatara,5,36,FD,RBC,PS,370
Reptilia,Squamata,Agamidae,Acanthosaura crucigera,Mountain dragon,1.45,,FD,RBC,V,75
Reptilia,Squamata,Agamidae,Agama agama,Agama lizard,1.37,,SCF,RBC,HS,106
Reptilia,Squamata,Agamidae,Agama agama,Agama lizard,1.61,,SCF,RBC,HS,106
Reptilia,Squamata,Agamidae,Agama agama,Agama lizard,2.11,48,FD,RBC,PS,368
Reptilia,Squamata,Agamidae,Agama atra,Southern rock agama,1.47,44,SCF,RBC,HS,106
Reptilia,Squamata,Agamidae,Agama impalearis,Bibron's agama,1.51,,SCF,RBC,HS,106
Reptilia,Squamata,Agamidae,Amphibolurus longirostris,Long-nosed water dragon,2,,FCM,RBC,BF,288
Reptilia,Squamata,Agamidae,Bronchocela cristatella,Borneo bloodsucker,2.38,48,SCF,RBC,HS,106
Reptilia,Squamata,Agamidae,Calotes emma,Forest crested lizard,2.1,,SCF,RBC,HS,106
Reptilia,Squamata,Agamidae,Calotes ensicauda,Unknown,2.4,,FD,RBC,V,75
Reptilia,Squamata,Agamidae,Calotes versicolor,Crested tree dragon,1.37,,SCF,RBC,HS,106
Reptilia,Squamata,Agamidae,Calotes versicolor,Crested tree dragon,1.61,,SCF,RBC,HS,106
Reptilia,Squamata,Agamidae,Calotes versicolor,Crested tree dragon,2.52,34,FD,RBC,PS,368
Reptilia,Squamata,Agamidae,Laudakia bochariensis,Unknown,1.97,36,FCM,RBC,"HS,ÊRT",542
Reptilia,Squamata,Agamidae,Laudakia caucasia,Rock agama,1.87,34,FCM,RBC,BF,288
Reptilia,Squamata,Agamidae,Laudakia himalayana,Rock agama,1.91,36,FCM,RBC,"HS,ÊRT",542
Reptilia,Squamata,Agamidae,Laudakia stellio,Hardun,2.14,36,SCF,RBC,HS,106
Reptilia,Squamata,Agamidae,Leiolepis belliana,Butterfly agama,1.4,,SCF,RBC,HS,106
Reptilia,Squamata,Agamidae,Leiolepis belliana,Butterfly agama,1.9,36,FD,RBC,V,75
Reptilia,Squamata,Agamidae,Leiolepis reevesii,Reeve's butterfly agama,2.2,,FD,RBC,V,75
Reptilia,Squamata,Agamidae,Phrynocephalus helioscopus,Toad-headed agama,2.08,44,FCM,RBC,"HS,ÊRT",542
Reptilia,Squamata,Agamidae,Phrynocephalus versicolor,Toad-headed agama,1.95,,FCM,RBC,"HS,ÊRT",542
Reptilia,Squamata,Agamidae,Physignathus cocincinus,Asian water dragon,1.86,36,SCF,RBC,HS,106
Reptilia,Squamata,Agamidae,Pogona vitticeps,Bearded dragon,1.81,32,FCM,RBC,BF,288
Reptilia,Squamata,Agamidae,Trapelus sanguinolentus,Steppe agama,1.72,,FCM,RBC,"HS,ÊRT",542
Reptilia,Squamata,Agamidae,Uromastyx acanthinura,Black spiny-tailed lizard,2.19,,FD,RBC,PS,368
Reptilia,Squamata,Agamidae,Uromastyx hardwickii,Spiny-tailed lizard,2.45,36,SCF,RBC,HS,106
Reptilia,Squamata,Amphisbaenidae,Amphisbaena mertensii,Worm lizard,1.32,40,FD,RBC,"HS,ÊBI",473
Reptilia,Squamata,Anguidae,Anguis fragilis,Slow worm,2,,FCM,RBC,BF,288
Reptilia,Squamata,Anguidae,Anguis fragilis,Slow worm,2.11,,FCM,RBC,"HS,ÊRT",542
Reptilia,Squamata,Anguidae,Anguis fragilis,Slow worm,2.59,,SCF,RBC,HS,106
Reptilia,Squamata,Anguidae,Anguis fragilis,Slow worm,3.8,44,FD,RBC,PS,370
Reptilia,Squamata,Anguidae,Diploglossus fasciatus,Galliwasp,1.6,36,FD,RBC,"HS,ÊBI",473
Reptilia,Squamata,Anguidae,Elgaria multicarinata,Southern alligator lizard,1.75,,SCF,RBC,HS,106
Reptilia,Squamata,Anguidae,Elgaria multicarinata,Southern alligator lizard,2.21,48,FD,RBC,HS,14
Reptilia,Squamata,Anguidae,Ophiodes striatus,Unknown,1.55,36,FD,RBC,"HS,ÊBI",473
Reptilia,Squamata,Anguidae,Ophisaurus koellikeri,North African glass lizard,1.54,,FD,RBC,PS,370
Reptilia,Squamata,Anguidae,Pseudopus apodus,Armored glass lizard,1.9,,FCM,RBC,BF,288
Reptilia,Squamata,Anguidae,Pseudopus apodus,Armored glass lizard,2.38,,SCF,RBC,HS,106
Reptilia,Squamata,Anguidae,Pseudopus apodus,Armored glass lizard,2.49,44,FD,RBC,PS,370
Reptilia,Squamata,Bipedidae,Bipes biporus,Worm lizard,1.92,42,FD,RBC,XL,292
Reptilia,Squamata,Bipedidae,Bipes canaliculatus,Worm lizard,2.1,44,FD,RBC,XL,292
Reptilia,Squamata,Boidae,Boa constrictor,Boa constrictor,1.75,,SCF,RBC,HS,106
Reptilia,Squamata,Boidae,Boa constrictor,Boa constrictor,2.04,,FD,RBC,HS,14
Reptilia,Squamata,Boidae,Boa constrictor,Boa constrictor,3.15,36,FD,RBC,PS,368
Reptilia,Squamata,Boidae,Corallus cookii,Cook's tree boa,1.79,,SCF,RBC,HS,106
Reptilia,Squamata,Boidae,Epicrates cenchria,Rainbow boa,2.21,,SCF,RBC,HS,106
Reptilia,Squamata,Boidae,Epicrates cenchria,Rainbow boa,3.11,36,FD,RBC,PS,368
Reptilia,Squamata,Boidae,Eryx jaculus,Javelin sand boa,1.73,34,FCM,RBC,BF,288
Reptilia,Squamata,Boidae,Eunectes murinus,Anaconda,1.72,36,SCF,RBC,HS,106
Reptilia,Squamata,Boidae,Gongylophis conicus,Rough-scaled sand boa,1.4,,SCF,RBC,HS,106
